Date,Open,High,Low,Close,Adj Close,Volume
2022-04-08,0.228282,0.231089,0.211733,0.213596,0.213596,328120742
2022-04-09,0.213586,0.226488,0.212594,0.225967,0.225967,235309430
2022-04-10,0.225985,0.226690,0.215618,0.215618,0.215618,229842320
2022-04-11,0.215559,0.218001,0.191154,0.192167,0.192167,453140326
2022-04-12,0.192378,0.206930,0.191926,0.201844,0.201844,370884729
2022-04-13,0.201808,0.207925,0.197885,0.206942,0.206942,285551406
2022-04-14,0.206897,0.210067,0.195992,0.197809,0.197809,350607176
2022-04-15,0.197817,0.202274,0.197700,0.201627,0.201627,223308236
2022-04-16,0.201614,0.204874,0.199849,0.203002,0.203002,191501885
2022-04-17,0.202948,0.203867,0.191642,0.192527,0.192527,218778705
2022-04-18,0.192544,0.196164,0.183414,0.194831,0.194831,392588747
2022-04-19,0.194843,0.202372,0.192547,0.199655,0.199655,396913402
2022-04-20,0.199646,0.209426,0.192148,0.195760,0.195760,549226011
2022-04-21,0.195764,0.201797,0.186816,0.189511,0.189511,425083968
2022-04-22,0.189483,0.193788,0.187122,0.192364,0.192364,323134178
2022-04-23,0.192397,0.192703,0.185809,0.188059,0.188059,208355133
2022-04-24,0.188008,0.189328,0.185159,0.186388,0.186388,195738483
2022-04-25,0.186513,0.186705,0.171148,0.182596,0.182596,395332898
2022-04-26,0.182521,0.184769,0.163012,0.164136,0.164136,285749201
2022-04-27,0.164162,0.173754,0.163818,0.173106,0.173106,239566376
2022-04-28,0.173074,0.174232,0.165829,0.169050,0.169050,267376986
2022-04-29,0.169057,0.171273,0.153042,0.155060,0.155060,282544836
2022-04-30,0.155026,0.157556,0.122148,0.131577,0.131577,317001877
2022-05-01,0.131585,0.144421,0.130453,0.142995,0.142995,365481148
2022-05-02,0.142961,0.143531,0.132827,0.135767,0.135767,287554794
2022-05-03,0.135736,0.143841,0.133247,0.136484,0.136484,268221785
2022-05-04,0.136496,0.164776,0.136383,0.161759,0.161759,528378434
2022-05-05,0.161733,0.163214,0.133808,0.139253,0.139253,512789112
2022-05-06,0.139194,0.147492,0.133662,0.143967,0.143967,453701344
2022-05-07,0.143928,0.147715,0.131804,0.135665,0.135665,286842252
2022-05-08,0.135691,0.136785,0.128985,0.130415,0.130415,263203532
2022-05-09,0.130499,0.133080,0.105922,0.105922,0.105922,428903394
2022-05-10,0.105124,0.123854,0.101861,0.109259,0.109259,624565417
2022-05-11,0.109096,0.112252,0.059322,0.064955,0.064955,687420807
2022-05-12,0.065042,0.072439,0.049440,0.068496,0.068496,580829285
2022-05-13,0.068429,0.104516,0.066733,0.091707,0.091707,1229319828
2022-05-14,0.091733,0.104283,0.082009,0.100493,0.100493,682619026
2022-05-15,0.100384,0.102641,0.090645,0.100559,0.100559,457258672
2022-05-16,0.100515,0.100515,0.084898,0.085749,0.085749,410781093
2022-05-17,0.085782,0.092545,0.084134,0.089395,0.089395,285420380
2022-05-18,0.089398,0.090612,0.077162,0.077472,0.077472,280051783
2022-05-19,0.077476,0.086901,0.074986,0.086073,0.086073,347177829
2022-05-20,0.086047,0.087283,0.077724,0.082270,0.082270,340678255
2022-05-21,0.082248,0.086224,0.079589,0.085824,0.085824,241887561
2022-05-22,0.085826,0.086052,0.081669,0.085332,0.085332,218479358
2022-05-23,0.085245,0.090867,0.079589,0.079958,0.079958,296629567
2022-05-24,0.079996,0.084277,0.077027,0.083475,0.083475,233294022
2022-05-25,0.083459,0.084261,0.079375,0.080095,0.080095,230182753
